Prisma_Cloud_Policy,Severity,Category,Checkov_ID
"AWS IAM policies that allow full ""*-*"" administrative privileges are created",CRITICAL,AWS IAM Policies,CKV_AWS_62
AWS Access key enabled on root account,HIGH,AWS IAM Policies,CKV_AWS_348
"AWS AdministratorAccess policy is used by IAM roles, users, or groups",HIGH,AWS IAM Policies,CKV_AWS_274
AWS GitHub Actions OIDC authorization policies allow for unsafe claims or claim order,HIGH,AWS IAM Policies,CKV_AWS_358
AWS IAM password policy does allow password reuse,HIGH,AWS IAM Policies,CKV_AWS_13
AWS IAM policy allows all principals used by any AWS service from target account to assume role,HIGH,AWS IAM Policies,CKV_AWS_61
AWS IAM policy documents allow * (asterisk) as a statement's action,HIGH,AWS IAM Policies,CKV_AWS_63
AWS IAM policy documents do not allow * (asterisk) as a statement's action,HIGH,AWS IAM Policies,CKV_AWS_49
AWS IAM role allows all services or principals to be assumed,HIGH,AWS IAM Policies,CKV_AWS_60
Data source IAM policy document allows all resources with restricted actions,HIGH,AWS IAM Policies,CKV_AWS_356
IAM policies allow data exfiltration,HIGH,AWS IAM Policies,CKV_AWS_288
IAM policies allow exposure of credentials,HIGH,AWS IAM Policies,CKV_AWS_287
IAM policies allow permissions management or resource exposure without constraints,HIGH,AWS IAM Policies,CKV_AWS_289
IAM policies allow write access without constraints,HIGH,AWS IAM Policies,CKV_AWS_290
IAM Policy Document Allows All or Any AWS Principal Permissions to Resources,HIGH,AWS IAM Policies,CKV_AWS_283
IAM policy document allows all resources with restricted actions,HIGH,AWS IAM Policies,CKV_AWS_355
IAM policy uses the AWS AdministratorAccess policy,HIGH,AWS IAM Policies,CKV_AWS_275
Permissions delegated to AWS services for AWS Lambda functions are not limited by SourceArn or SourceAccount,HIGH,AWS IAM Policies,CKV_AWS_364
The AWS Managed IAMFullAccess IAM policy should not be used,HIGH,AWS IAM Policies,CKV2_AWS_56
API Gateway method setting is not set to encrypted caching,HIGH,AWS General Policies,CKV_AWS_308
AWS Lambda function is not configured to validate code-signing,HIGH,AWS General Policies,CKV_AWS_272
AWS provisioned resources are manually modified,HIGH,AWS General Policies,N/A
CodeBuild S3 logs are not encrypted,HIGH,AWS General Policies,CKV_AWS_311
Comprehend Entity Recognizer's model is not encrypted by KMS using a customer managed Key (CMK),HIGH,AWS General Policies,CKV_AWS_267
Comprehend Entity Recognizer's volume is not encrypted by KMS using a customer managed Key (CMK),HIGH,AWS General Policies,CKV_AWS_268
DataSync Location Object Storage exposes secrets,HIGH,AWS General Policies,CKV_AWS_295
DMS endpoint is not using a Customer Managed Key (CMK),HIGH,AWS General Policies,CKV_AWS_296
DocDB Global Cluster is not encrypted at rest,HIGH,AWS General Policies,CKV_AWS_292
DynamoDB PITR is disabled,HIGH,AWS General Policies,CKV_AWS_28
DynamoDB table replica does not use CMK KMS encryption,HIGH,AWS General Policies,CKV_AWS_271
ECR image scan on push is not enabled,HIGH,AWS General Policies,CKV_AWS_163
EFS Access Points are not enforcing a root directory,HIGH,AWS General Policies,CKV_AWS_329
Elastic Beanstalk environments do not have enhanced health reporting enabled,HIGH,AWS General Policies,CKV_AWS_312
EventBridge Scheduler Schedule is not using a Customer Managed Key (CMK),HIGH,AWS General Policies,CKV_AWS_297
Neptune is not encrypted with KMS using a customer managed Key (CMK),HIGH,AWS General Policies,CKV_AWS_347
Network firewall encryption does not use a CMK,HIGH,AWS General Policies,CKV_AWS_345
Network Firewall Policy does not define an encryption configuration that uses a CMK,HIGH,AWS General Policies,CKV_AWS_346
Network firewalls do not have deletion protection enabled,HIGH,AWS General Policies,CKV_AWS_344
Not all data stored in Aurora is securely encrypted at rest,HIGH,AWS General Policies,CKV_AWS_96
RDS Performance Insights are not encrypted using KMS CMKs,HIGH,AWS General Policies,CKV_AWS_354
Secrets Manager secrets are not rotated within 90 days,HIGH,AWS General Policies,CKV_AWS_304
Security configuration of the EMR Cluster does not ensure the encryption of EBS disks,HIGH,AWS General Policies,CKV_AWS_350
SSM parameters are not utilizing KMS CMK,HIGH,AWS General Policies,CKV_AWS_337
The Connect Instance S3 Storage Configuration utilizes Customer Managed Key,HIGH,AWS General Policies,CKV_AWS_270
The DMS S3 does not use a Customer Managed Key (CMK),HIGH,AWS General Policies,CKV_AWS_298
Transfer server does not force secure protocols,HIGH,AWS General Policies,CKV_AWS_357
ALB is not configured with the defensive or strictest desync mitigation mode,HIGH,AWS Networking Policies,CKV_AWS_328
Domain Name System Security Extensions (DNSSEC) signing is not enabled for Amazon Route 53 public hosted zones,HIGH,AWS Networking Policies,CKV2_AWS_38
MSK nodes are not private,HIGH,AWS Networking Policies,CKV_AWS_291
NACL ingress allows all ports,HIGH,AWS Networking Policies,CKV_AWS_352
WAF enables message lookup in Log4j2,HIGH,AWS Networking Policies,CKV_AWS_192
AWS EKS node group have implicit SSH access from 0.0.0.0/0,HIGH,AWS Kubernetes Policies,CKV_AWS_100
EKS clusters are not running on a supported Kubernetes version,HIGH,AWS Kubernetes Policies,CKV_AWS_339
Neptune logging is not enabled,HIGH,AWS Logging Policies,CKV_AWS_101
AWS access keys and secrets are hard coded in infrastructure,HIGH,AWS Secrets Policies,CKV_AWS_41
EC2 user data exposes secrets,HIGH,AWS Secrets Policies,CKV_AWS_46
A Policy is not Defined for KMS Key,MEDIUM,AWS IAM Policies,CKV2_AWS_64
Authorization type for API GatewayV2 routes is not specified,MEDIUM,AWS IAM Policies,CKV_AWS_309
AWS Cognito identity pool allows unauthenticated guest access,MEDIUM,AWS IAM Policies,CKV_AWS_366
AWS IAM policy allows full administrative privileges,MEDIUM,AWS IAM Policies,CKV2_AWS_40
AWS IAM Policy permission may cause privilege escalation,MEDIUM,AWS IAM Policies,CKV_AWS_286
AWS KMS Key policy overly permissive,MEDIUM,AWS IAM Policies,CKV_AWS_33
IAM policies allow privilege escalation,MEDIUM,AWS IAM Policies,CKV_AWS_110
RDS database does not have IAM authentication enabled,MEDIUM,AWS IAM Policies,CKV_AWS_161
AWS Private ECR repository policy is overly permissive,MEDIUM,AWS Public Policies,CKV_AWS_32
Athena Database is not encrypted at rest,MEDIUM,AWS General Policies,CKV_AWS_77
Athena workgroup does not prevent disabling encryption,MEDIUM,AWS General Policies,CKV_AWS_82
Athena Workgroup is not encrypted,MEDIUM,AWS General Policies,CKV_AWS_159
AWS Auto Scaling group launch configuration configured with Instance Metadata Service hop count greater than 1,MEDIUM,AWS General Policies,CKV_AWS_341
AWS CodeBuild project environment privileged mode is enabled,MEDIUM,AWS General Policies,CKV_AWS_316
AWS database instances do not have deletion protection enabled,MEDIUM,AWS General Policies,CKV_AWS_293
AWS ECS task definition elevated privileges enabled,MEDIUM,AWS General Policies,CKV_AWS_334
AWS Lambda function URL AuthType set to NONE,MEDIUM,AWS General Policies,CKV_AWS_258
AWS SageMaker Notebook Instance allows for IMDSv1,MEDIUM,AWS General Policies,CKV_AWS_371
Backup Vault is not encrypted at rest using KMS CMK,MEDIUM,AWS General Policies,CKV_AWS_166
Bedrock Agent not encrypted with Customer Master Key (CMK),MEDIUM,AWS General Policies,CKV_AWS_373
CloudFront distributions do not have origin failover configured,MEDIUM,AWS General Policies,CKV_AWS_310
CloudWatch alarm actions are not enabled,MEDIUM,AWS General Policies,CKV_AWS_319
CodeBuild projects are not encrypted,MEDIUM,AWS General Policies,CKV_AWS_147
Deletion protection disabled for load balancer,MEDIUM,AWS General Policies,CKV_AWS_113
DocumentDB is not encrypted at rest,MEDIUM,AWS General Policies,CKV_AWS_74
Dynamodb point in time recovery is not enabled for global tables,MEDIUM,AWS General Policies,CKV_AWS_165
EC2 Auto Scaling groups are not utilizing EC2 launch templates,MEDIUM,AWS General Policies,CKV_AWS_315
ECS Fargate services are not ensured to run on the latest Fargate platform version,MEDIUM,AWS General Policies,CKV_AWS_332
ECS task definitions have their own unique process namespace or share the host's process namespace,MEDIUM,AWS General Policies,CKV_AWS_335
Elasticsearch domains are not configured with a minimum of three dedicated master nodes,MEDIUM,AWS General Policies,CKV_AWS_318
Hard-coded secrets found in Parameter Store values,MEDIUM,AWS General Policies,CKV_AWS_384
Neptune storage is not securely encrypted,MEDIUM,AWS General Policies,CKV_AWS_44
QLDB ledger permissions mode is not set to STANDARD,MEDIUM,AWS General Policies,CKV_AWS_170
RDS Aurora Clusters do not have backtracking enabled,MEDIUM,AWS General Policies,CKV_AWS_326
Route53 A Record does not have Attached Resource,MEDIUM,AWS General Policies,CKV2_AWS_23
Runtime of Lambda is deprecated,MEDIUM,AWS General Policies,CKV_AWS_363
S3 lifecycle configuration does not set a period for aborting failed uploads,MEDIUM,AWS General Policies,CKV_AWS_300
Session Manager data is not encrypted in transit,MEDIUM,AWS General Policies,CKV_AWS_112
Timestream database is not encrypted with KMS CMK,MEDIUM,AWS General Policies,CKV_AWS_160
User identity should be enforced by EFS access points,MEDIUM,AWS General Policies,CKV_AWS_330
Workspace root volumes are not encrypted,MEDIUM,AWS General Policies,CKV_AWS_156
Workspace user volumes are not encrypted,MEDIUM,AWS General Policies,CKV_AWS_155
ALB does not drop HTTP headers,MEDIUM,AWS Networking Policies,CKV_AWS_131
AWS API Gateway method lacking authorization or API keys,MEDIUM,AWS Networking Policies,CKV2_AWS_70
AWS Lambda function URL having overly permissive cross-origin resource sharing permissions,MEDIUM,AWS Networking Policies,CKV2_AWS_75
AWS Load Balancer uses HTTP protocol,MEDIUM,AWS Networking Policies,CKV_AWS_378
